,G1,Zfix_age,Zfix_sex,Zfix_bmi,Zfix_batch,Zfix_PC1,Zfix_PC2,Lt1,Lt2,Lm1,Lm2,Lm3,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,Vbp,Vcimt,Vpvh,Vbp_cimt,Vbp_pvh,Vcimt_pvh,Vbp_cimt_pvh
G1,0.0,0.0,0.0,0.0,0.0,0.9130392556766609,0.0,0.6144450580953288,0.7321681245714381,0.9819704440477561,0.4449489737463219,0.6226193183837326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36850675991587917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zfix_age,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6490796901194487,0.7159226747795393,1.0049023041916383,0.6128901860596392,0.3511801777161446,0.33981063240577725,0.10090196192277417,0.6236824822005428,0.36166326233077206,0.2976135077039822,0.19785919159190446,0.7213250690096635,0.6430685839968013,0.7534646123354785,0.48964930719127175,0.7143883831628862,0.7281510664532048,0.5203814627503691,0.5536387770066407,-0.049856816153619365,0.23386067966967317,0.7390696277358844,0.868163160608832,0.7631900524074278
Zfix_sex,0.0,0.0,0.0,0.0,0.0,0.0,1.050937610329406,0.07785005689518365,0.2722083265172053,0.7101489461097019,0.6139436193979853,0.5688685902653263,0.7429065376822661,0.5985824082971041,0.7315237743098424,0.4819390218767741,0.23935395333814713,0.6605552429130912,0.07213798627267953,0.752877414087165,0.5698528312871032,0.5845328993519757,0.7248611288573101,0.5796635012530541,0.5377793561402285,0.4676007823467907,0.5571831133950258,0.8331597258938209,0.7484376521438694,0.6315477506105907,0.5275824662524193
Zfix_bmi,0.0,0.0,0.0,0.0,0.0,0.6883652457772449,0.0,0.39046951420409,1.059697706176286,0.5063643988183266,0.8060445367402492,0.9891317943149164,0.9112822626883477,0.5552205162329261,0.7150191512297595,0.4622684228236833,0.8420967556857589,0.6784420662061852,0.7134410405426814,0.48773965700315924,0.494333128345757,0.17307513350554082,0.8023673365959649,0.7904531790648172,0.6143401333383448,0.535481783455211,0.5368012714108776,0.6577266334704432,0.42103758048898454,0.5322232589831717,0.5661925469602237
Zfix_batch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.456879369998078,0.47280122028494087,0.6989655644040226,0.528832902448916,0.7997590616479854,0.727498174580145,0.6703263596030974,0.791078878742983,0.23978079080861103,0.6138390766274847,0.6690946388764113,0.38757609311854535,0.659124905131156,0.5526172237213559,0.5099173395565653,0.3042016502403331,0.5100926045415198,0.4366775174952211,0.5607797999064411,0.8412057868296898,0.44884730267056644,0.7881326134151457,0.7951048723220706,0.5508483224783826
Zfix_PC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8663306142727301,0.858058856357007,0.6224375556321122,0.2621973886811072,0.4134851705184011,0.7004294214775766,0.6893468908907707,0.7648340298908464,0.5041749654491321,0.8130704122033319,0.6731095101814069,0.5724020411692801,0.43418832777400074,0.6261191832338834,0.7280369437082561,0.4397425582269958,0.6617519662699369,0.4554789416092646,0.5082450336325404,0.6162263870964788,0.8576454331984634,0.5744673334792932,0.35829089096303535,0.8112116698358719
Zfix_PC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.701085055140539,0.26418741247405036,0.50010486040778,0.4317379877467815,0.4960780072072102,0.5106598653081262,0.5586571080575884,0.1696231917344787,0.9382989504899308,0.2815683624395886,0.45874762084267096,0.4479425857809174,0.6982980329008818,0.45021730487443035,0.5083390247714612,0.673876396712716,0.2959972419602162,0.6121061911164597,0.3441454547888944,0.8689318871249079,0.6325934171070035,0.4777214837053381,0.6770593248089654,0.7609661770597296
Lt1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4730271149794229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371791668331278,0.993324101725289,0.4380555004321779,0.20106270109204755,0.5953780735864121,0.505480825587011,0.6756757799874397,0.7179483340773888,0.7687766259503677,0.49823511353134203,0.4873636552193126,0.23588210520403513,0.8326566671219198,0.555077872194357,0.8829737020921471,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5684642584850901,0.0,0.3871205853388797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lm2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16011098558024128,0.24254064153148097,0.45988378609391345,0.8256034706447933,0.8261627939745065,0.28481409381098494,0.5955360637779628,0.8078589693720021,0.5603147884313205,0.7308555968997786,1.0243812454733567,0.6223159624566502,0.5185749700420964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lm3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8221226458641745,0.5167588743736694,0.9897760703608843,0.24939540371100627,0.5447412476821439,0.9472493834955256,0.45205194111969205,0.7516677110654837,0.7223437277956514,1.1599155743669456,0.5968767632941813,0.7635819715061598,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7558305596038519,0.0,0.0,0.0,0.0,0.0,0.0
R2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8483942481428768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686032903152141,0.7302687895524891,0.6233504057182668,0.08774432719160052,0.36448788559871015,0.4141468322480306
R3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027274677121750135,0.4764045095209999,0.9302700131386502,0.5531679042540693,0.4198492851371738,0.3798428329747441
R4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4792515822989009,0.40102071942984174,0.0,0.4238041885922028,0.0,0.0,0.46296757633168983,0.7534905324713461,0.7261084422030807,0.7723303385792637,0.42158172154091156,0.7369694579915617
R5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4591202957059703,0.7127160164725419,0.6084862422730459,0.30756252296018144,0.6107698289555291,0.42145603277048116
R6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6351488437387421,0.7170198793826037,0.8477887648544031,0.5295110064271563,0.5198800044704267,0.7052687632552151
