Pathway,TE_Estimate,TE_CI_Lower,TE_CI_Upper,NDE_Estimate,NDE_CI_Lower,NDE_CI_Upper,NIE_Estimate,NIE_CI_Lower,NIE_CI_Upper,NIE_Significant,NIE_SignConsistency,N_rows,Bootstrap_Used
URXUMA -> Fractal_dimension -> BPXSY1,-0.05583966160344422,-0.10868019433586469,-0.0009387917172730112,-0.05375059944182112,-0.1068172071584579,-0.0005739010512983233,-5.521590522742247e-05,-0.0030121986540624533,0.0034819908741447977,False,0.535,1535,2000
URXUMA -> Artery_Distance_tortuosity -> BPXSY1,-0.05583966160344422,-0.10868019433586469,-0.0009387917172730112,-0.05375059944182112,-0.1068172071584579,-0.0005739010512983233,0.0010818646117614148,-0.0019051292827700168,0.004651770637689283,False,0.7655,1535,2000
URXUMA -> Vein_Squared_curvature_tortuosity -> BPXSY1,-0.05583966160344422,-0.10868019433586469,-0.0009387917172730112,-0.05375059944182112,-0.1068172071584579,-0.0005739010512983233,-0.001546125717841447,-0.004565444122038814,0.001316281231531375,False,0.8615,1535,2000
URXUMA -> AVR_Hubbard -> BPXSY1,-0.05583966160344422,-0.10868019433586469,-0.0009387917172730112,-0.05375059944182112,-0.1068172071584579,-0.0005739010512983233,-0.0015695851503156478,-0.005770417577858831,0.0023752241871647832,False,0.813,1535,2000
URXUMA -> Fractal_dimension -> BPXDI1,0.06689198093214878,-0.027029601080902507,0.16375957941949199,0.06244794467419061,-0.031859690737989776,0.15919280370602648,-0.00010846859859405847,-0.003717965556643537,0.0035851402950269878,False,0.535,1535,2000
URXUMA -> Artery_Distance_tortuosity -> BPXDI1,0.06689198093214878,-0.027029601080902507,0.16375957941949199,0.06244794467419061,-0.031859690737989776,0.15919280370602648,0.0030195530065822603,-0.0020962161958659954,0.010228199292322361,False,0.871,1535,2000
URXUMA -> Vein_Squared_curvature_tortuosity -> BPXDI1,0.06689198093214878,-0.027029601080902507,0.16375957941949199,0.06244794467419061,-0.031859690737989776,0.15919280370602648,0.001506054263891711,-0.0026642520336692547,0.006619671816469314,False,0.7455,1535,2000
URXUMA -> AVR_Hubbard -> BPXDI1,0.06689198093214878,-0.027029601080902507,0.16375957941949199,0.06244794467419061,-0.031859690737989776,0.15919280370602648,2.6897586078232366e-05,-0.0036225666906357775,0.0034978406213346633,False,0.516,1535,2000
URXUMA -> Fractal_dimension -> BPXPLS,0.06901402635186113,-0.06658433727078092,0.20496102805419394,0.06751685579992889,-0.06671152546361668,0.20350701216096007,6.0190691148033185e-05,-0.004526334730738641,0.00428211263450526,False,0.5185,1535,2000
URXUMA -> Artery_Distance_tortuosity -> BPXPLS,0.06901402635186113,-0.06658433727078092,0.20496102805419394,0.06751685579992889,-0.06671152546361668,0.20350701216096007,-0.002138016915279315,-0.008995340532981778,0.0034984282678795584,False,0.766,1535,2000
URXUMA -> Vein_Squared_curvature_tortuosity -> BPXPLS,0.06901402635186113,-0.06658433727078092,0.20496102805419394,0.06751685579992889,-0.06671152546361668,0.20350701216096007,0.002714700795012055,-0.0017343101246119505,0.008392218362118524,False,0.8755,1535,2000
URXUMA -> AVR_Hubbard -> BPXPLS,0.06901402635186113,-0.06658433727078092,0.20496102805419394,0.06751685579992889,-0.06671152546361668,0.20350701216096007,0.0008602959810514057,-0.002747662514045856,0.005645246975252052,False,0.6675,1535,2000
URXUMA -> Fractal_dimension -> BPXPULS,-0.020940093944215064,-0.04652545556777534,-0.006327857024785562,-0.024104056585580087,-0.05241283912996061,-0.00740023986724422,2.071341089977459e-05,-0.002744428186822613,0.0026511101172020735,False,0.5195,1535,2000
URXUMA -> Artery_Distance_tortuosity -> BPXPULS,-0.020940093944215064,-0.04652545556777534,-0.006327857024785562,-0.024104056585580087,-0.05241283912996061,-0.00740023986724422,0.0018391217190167756,0.0003612786869994411,0.004205235166075312,True,0.998,1535,2000
URXUMA -> Vein_Squared_curvature_tortuosity -> BPXPULS,-0.020940093944215064,-0.04652545556777534,-0.006327857024785562,-0.024104056585580087,-0.05241283912996061,-0.00740023986724422,0.0019956430511039,0.0004388352723891441,0.004448547730433406,True,0.998,1535,2000
URXUMA -> AVR_Hubbard -> BPXPULS,-0.020940093944215064,-0.04652545556777534,-0.006327857024785562,-0.024104056585580087,-0.05241283912996061,-0.00740023986724422,-0.0006915155396554458,-0.00459305332475917,0.0023517548493594007,False,0.6595,1535,2000
URXCRS -> Fractal_dimension -> BPXSY1,0.03252512057125561,0.004638614507377753,0.06076963463999729,0.03327844257121959,0.0052749397513006365,0.06165070857518512,0.00025227609897381743,-0.0008855430248077568,0.0017425521245511481,False,0.6735,1535,2000
URXCRS -> Artery_Distance_tortuosity -> BPXSY1,0.03252512057125561,0.004638614507377753,0.06076963463999729,0.03327844257121959,0.0052749397513006365,0.06165070857518512,0.00011064524261000181,-0.0006110084664299835,0.001147278905304471,False,0.6015,1535,2000
URXCRS -> Vein_Squared_curvature_tortuosity -> BPXSY1,0.03252512057125561,0.004638614507377753,0.06076963463999729,0.03327844257121959,0.0052749397513006365,0.06165070857518512,-0.0005791489536619232,-0.0021272035246022434,0.0005398944532798222,False,0.828,1535,2000
URXCRS -> AVR_Hubbard -> BPXSY1,0.03252512057125561,0.004638614507377753,0.06076963463999729,0.03327844257121959,0.0052749397513006365,0.06165070857518512,-0.0005370943878864582,-0.002672880779183831,0.0011938234233454257,False,0.74,1535,2000
URXCRS -> Fractal_dimension -> BPXDI1,0.04567554005387553,0.003089121521712385,0.08793808353784079,0.044716416236184484,0.002525348306462079,0.08749303907813599,0.0001617507693126377,-0.00118481567859908,0.0019065390024486436,False,0.575,1535,2000
URXCRS -> Artery_Distance_tortuosity -> BPXDI1,0.04567554005387553,0.003089121521712385,0.08793808353784079,0.044716416236184484,0.002525348306462079,0.08749303907813599,0.00031448208286288364,-0.0014439864145646799,0.002532802986944232,False,0.636,1535,2000
URXCRS -> Vein_Squared_curvature_tortuosity -> BPXDI1,0.04567554005387553,0.003089121521712385,0.08793808353784079,0.044716416236184484,0.002525348306462079,0.08749303907813599,0.0005202957442473022,-0.0010014063728185718,0.0029165216096888793,False,0.7065,1535,2000
URXCRS -> AVR_Hubbard -> BPXDI1,0.04567554005387553,0.003089121521712385,0.08793808353784079,0.044716416236184484,0.002525348306462079,0.08749303907813599,-3.7404778732032156e-05,-0.0015465719538478096,0.0012751527802778335,False,0.501,1535,2000
URXCRS -> Fractal_dimension -> BPXPLS,0.0038302907576149687,-0.04333749748408783,0.05108101102082365,0.003169938899243185,-0.04383033202405877,0.04929634437710526,-0.0002776421011326371,-0.0025598661280818477,0.0012013028160973319,False,0.6275,1535,2000
URXCRS -> Artery_Distance_tortuosity -> BPXPLS,0.0038302907576149687,-0.04333749748408783,0.05108101102082365,0.003169938899243185,-0.04383033202405877,0.04929634437710526,-0.00018759921970624616,-0.0022225197299443147,0.0013812660689999584,False,0.5805,1535,2000
URXCRS -> Vein_Squared_curvature_tortuosity -> BPXPLS,0.0038302907576149687,-0.04333749748408783,0.05108101102082365,0.003169938899243185,-0.04383033202405877,0.04929634437710526,0.000879175028992387,-0.0008472630812216783,0.0034708149666019925,False,0.818,1535,2000
URXCRS -> AVR_Hubbard -> BPXPLS,0.0038302907576149687,-0.04333749748408783,0.05108101102082365,0.003169938899243185,-0.04383033202405877,0.04929634437710526,0.00024641815021911935,-0.0011935236525349422,0.0020779821093193976,False,0.618,1535,2000
URXCRS -> Fractal_dimension -> BPXPULS,-0.02057647335240093,-0.040976278798535284,-0.002849618565441338,-0.02102527026604558,-0.041181352410419404,-0.002920914604681427,-0.00016347964247595854,-0.0013632928152201272,0.0006706296040916975,False,0.619,1535,2000
URXCRS -> Artery_Distance_tortuosity -> BPXPULS,-0.02057647335240093,-0.040976278798535284,-0.002849618565441338,-0.02102527026604558,-0.041181352410419404,-0.002920914604681427,0.0001995438542954989,-0.0006031322308167621,0.0011578046744177188,False,0.682,1535,2000
URXCRS -> Vein_Squared_curvature_tortuosity -> BPXPULS,-0.02057647335240093,-0.040976278798535284,-0.002849618565441338,-0.02102527026604558,-0.041181352410419404,-0.002920914604681427,0.0006777846261377864,-0.00021595970424744432,0.0020263725233414997,False,0.922,1535,2000
URXCRS -> AVR_Hubbard -> BPXPULS,-0.02057647335240093,-0.040976278798535284,-0.002849618565441338,-0.02102527026604558,-0.041181352410419404,-0.002920914604681427,-0.00026505192431278574,-0.002104485982178274,0.0009085945852254707,False,0.6405,1535,2000
LBXSBU -> Fractal_dimension -> BPXSY1,-0.023771380848424263,-0.07979865212755269,0.03451576419579096,-0.024035469088863327,-0.08018177928246815,0.034191826204443686,-0.00019152411304704809,-0.004044997339130946,0.0033032283991470306,False,0.5295,1079,2000
LBXSBU -> Artery_Distance_tortuosity -> BPXSY1,-0.023771380848424263,-0.07979865212755269,0.03451576419579096,-0.024035469088863327,-0.08018177928246815,0.034191826204443686,-6.126243262678135e-05,-0.002336224158205597,0.0019307254865240716,False,0.5235,1079,2000
LBXSBU -> Vein_Squared_curvature_tortuosity -> BPXSY1,-0.023771380848424263,-0.07979865212755269,0.03451576419579096,-0.024035469088863327,-0.08018177928246815,0.034191826204443686,-0.0012615780806993317,-0.005580462420088154,0.002106672453133347,False,0.763,1079,2000
LBXSBU -> AVR_Hubbard -> BPXSY1,-0.023771380848424263,-0.07979865212755269,0.03451576419579096,-0.024035469088863327,-0.08018177928246815,0.034191826204443686,0.0017784528668122147,-0.0012371725599330246,0.006874507030713005,False,0.846,1079,2000
LBXSBU -> Fractal_dimension -> BPXDI1,-0.01918614268418841,-0.0986537921900093,0.06360210341460806,-0.019202844008350168,-0.09754676738593113,0.06460649786452459,-0.0004474465427678601,-0.006789482324634334,0.005372280679526949,False,0.568,1079,2000
LBXSBU -> Artery_Distance_tortuosity -> BPXDI1,-0.01918614268418841,-0.0986537921900093,0.06360210341460806,-0.019202844008350168,-0.09754676738593113,0.06460649786452459,-0.00022806422963791767,-0.0035541243269263624,0.0023267022899461317,False,0.56,1079,2000
LBXSBU -> Vein_Squared_curvature_tortuosity -> BPXDI1,-0.01918614268418841,-0.0986537921900093,0.06360210341460806,-0.019202844008350168,-0.09754676738593113,0.06460649786452459,0.0024598409017481462,-0.002524068920855129,0.008939743166023304,False,0.8365,1079,2000
LBXSBU -> AVR_Hubbard -> BPXDI1,-0.01918614268418841,-0.0986537921900093,0.06360210341460806,-0.019202844008350168,-0.09754676738593113,0.06460649786452459,-0.0017676288051804963,-0.008553094781621973,0.002516436031940368,False,0.767,1079,2000
LBXSBU -> Fractal_dimension -> BPXPLS,-0.1474152625048526,-0.2487597515225122,-0.03664035891628545,-0.15057322927895503,-0.2536448892642405,-0.04115098544178951,0.0020861024426538717,-0.003929583698169007,0.010730580572118545,False,0.73,1079,2000
LBXSBU -> Artery_Distance_tortuosity -> BPXPLS,-0.1474152625048526,-0.2487597515225122,-0.03664035891628545,-0.15057322927895503,-0.2536448892642405,-0.04115098544178951,-0.00016583106403054448,-0.004883003261624862,0.004466171189756056,False,0.545,1079,2000
LBXSBU -> Vein_Squared_curvature_tortuosity -> BPXPLS,-0.1474152625048526,-0.2487597515225122,-0.03664035891628545,-0.15057322927895503,-0.2536448892642405,-0.04115098544178951,0.0027264556949502723,-0.002467031998352866,0.009983480685920131,False,0.849,1079,2000
LBXSBU -> AVR_Hubbard -> BPXPLS,-0.1474152625048526,-0.2487597515225122,-0.03664035891628545,-0.15057322927895503,-0.2536448892642405,-0.04115098544178951,-0.0014887602994710898,-0.008494231265472186,0.0037552677214942984,False,0.709,1079,2000
